ax ay az gx gy gz
588 708 -16800 -556 234 74
544 752 -16864 -603 231 69
472 620 -16852 -617 263 75
532 760 -16984 -609 299 57
560 708 -16996 -552 266 72
508 692 -17072 -599 266 87
508 748 -16980 -564 277 98
492 652 -16900 -597 262 103
504 708 -16900 -552 247 87
532 696 -16952 -593 223 50
520 728 -16936 -590 257 49
568 664 -16892 -588 259 87
464 660 -16932 -585 282 20
552 724 -16976 -593 265 81
556 640 -16992 -583 240 54
576 624 -16932 -571 271 93
548 664 -17072 -566 212 34
600 740 -17024 -631 256 107
556 700 -16952 -575 236 87
496 756 -16952 -599 256 67
544 704 -16836 -579 258 68
572 684 -16880 -578 253 90
476 716 -16960 -578 220 85
588 700 -16916 -568 261 81
532 672 -16868 -578 239 69
572 752 -16996 -592 269 98
584 692 -16948 -602 265 68
592 764 -16916 -590 276 61
592 668 -16988 -551 264 72
552 720 -16904 -598 244 36
520 668 -16916 -571 249 45
588 712 -16996 -590 230 53
596 692 -16892 -576 263 91
592 684 -16904 -599 227 102
572 704 -16860 -603 265 84
540 676 -17072 -604 202 89
560 648 -17012 -576 237 26
496 788 -16960 -582 227 64
472 724 -17028 -584 238 83
532 728 -17020 -582 209 80
520 704 -17120 -569 242 88
580 708 -16900 -591 275 64
516 740 -17004 -593 270 86
580 768 -16948 -552 257 92
680 724 -16976 -626 248 49
288 620 -16968 -599 259 56
716 868 -16968 -583 263 26
428 680 -17040 -601 231 61
564 636 -17028 -592 253 87
496 688 -16824 -595 268 101
488 660 -16988 -523 277 113
688 632 -16900 -582 265 57
512 588 -17020 -577 213 58
596 760 -16932 -591 221 61
528 756 -17016 -572 234 41
484 608 -16828 -539 247 68
468 664 -16904 -599 229 78
336 728 -16884 -579 243 131
432 724 -17028 -572 254 97
552 608 -16920 -598 220 85
464 684 -16948 -576 256 92
500 708 -16888 -549 266 76
540 648 -16960 -576 274 83
540 644 -16924 -596 271 53
576 692 -16984 -584 267 58
524 660 -16936 -556 270 30
492 648 -16908 -584 278 60
520 676 -16932 -584 256 42
584 764 -16944 -599 280 75
560 768 -16896 -586 277 73
576 732 -17016 -589 242 95
552 668 -16908 -588 223 125
580 728 -16924 -566 253 85
564 668 -16944 -582 250 128
652 728 -16928 -578 239 69
560 768 -16980 -606 272 63
612 740 -16948 -579 228 58
600 748 -16828 -535 256 101
560 792 -17012 -576 264 63
652 716 -16920 -604 239 61
540 684 -16984 -584 210 71
588 672 -16836 -620 239 81
464 660 -16904 -570 263 97
516 652 -16928 -556 262 15
556 636 -16908 -572 253 41
480 628 -16944 -579 238 47
436 684 -16912 -586 249 46
448 664 -16844 -607 248 74
496 672 -16964 -595 273 135
496 680 -16964 -600 264 59
644 720 -16940 -612 248 115
560 712 -16956 -560 234 80
544 648 -16960 -551 261 92
592 744 -17000 -586 253 84
568 756 -16884 -578 263 88
596 640 -16952 -557 244 102
552 720 -16992 -575 251 66
588 756 -16988 -576 234 83
564 676 -16932 -569 231 85
476 592 -16904 -562 232 53
528 684 -16840 -593 262 80
492 684 -17028 -574 275 89
508 728 -17056 -594 258 64
552 728 -17020 -552 230 60
456 740 -16956 -562 261 98
524 740 -16820 -592 253 110
564 684 -16888 -600 235 110
532 728 -16952 -579 281 32
552 764 -17084 -567 269 91
460 756 -17060 -570 251 77
504 688 -16944 -601 257 69
568 712 -16956 -597 249 78
560 664 -16956 -568 229 66
640 628 -16828 -595 245 67
596 632 -16952 -609 264 61
524 708 -16960 -560 247 60
552 716 -16952 -543 219 63
544 692 -16992 -596 258 82
516 660 -16836 -598 267 105
568 680 -16876 -575 237 111
508 692 -17028 -593 273 62
468 760 -16980 -581 246 102
532 712 -16992 -580 222 92
548 752 -17032 -618 259 80
516 664 -17008 -595 256 60
500 708 -16920 -581 236 56
492 804 -17004 -579 269 58
520 736 -16936 -581 286 32
