ax ay az gx gy gz
532 716 -17004 -560 217 94
548 772 -16916 -577 248 61
436 684 -16972 -578 231 93
492 684 -17000 -573 260 60
504 692 -16920 -612 242 70
552 692 -17020 -574 264 50
608 760 -16964 -530 217 93
548 648 -16920 -577 253 63
544 736 -17048 -624 250 75
572 720 -16980 -575 238 97
544 688 -16940 -598 280 97
584 680 -16984 -536 258 49
524 680 -16896 -559 256 109
560 680 -16892 -595 265 55
584 680 -16904 -618 262 89
580 660 -16932 -599 239 107
532 716 -16840 -597 276 71
492 708 -16936 -565 239 93
536 696 -16856 -597 270 43
532 716 -17104 -583 250 72
512 704 -17004 -572 265 86
492 616 -16988 -585 255 58
640 724 -16924 -571 262 95
524 704 -17028 -595 260 76
512 672 -16944 -624 256 66
572 712 -16896 -588 279 77
528 628 -16912 -588 287 104
552 640 -16984 -589 237 66
528 744 -16952 -582 236 52
544 668 -16936 -607 251 142
548 700 -16956 -617 286 71
592 680 -16916 -559 254 47
592 668 -16944 -597 238 95
520 748 -17004 -612 244 90
568 724 -17000 -590 253 104
572 700 -16952 -606 288 88
560 740 -16992 -595 256 62
540 744 -16908 -586 262 70
512 716 -16952 -583 267 69
504 648 -17008 -613 289 86
540 752 -17044 -562 247 57
560 696 -16868 -589 251 106
508 676 -17076 -578 274 69
504 736 -16876 -578 241 99
496 760 -17016 -592 269 66
512 696 -16984 -576 220 78
552 736 -17036 -578 276 70
512 696 -16940 -572 251 58
580 772 -16996 -607 260 98
548 668 -16988 -541 271 54
560 708 -16932 -628 298 60
488 700 -16908 -598 258 55
512 712 -16936 -578 264 80
520 676 -16860 -603 262 45
604 596 -16900 -595 254 52
572 664 -16928 -583 269 79
568 676 -17000 -574 255 66
540 708 -16860 -580 257 82
540 680 -16884 -573 243 93
668 724 -16844 -582 213 64
572 700 -16976 -596 255 84
596 700 -16916 -563 279 81
604 724 -16924 -582 258 86
552 720 -16992 -626 255 86
528 660 -17020 -579 290 83
496 676 -17016 -581 223 94
584 708 -16916 -585 247 51
564 720 -16908 -571 255 91
536 716 -16932 -555 233 82
516 648 -16940 -619 225 87
564 696 -16940 -578 250 100
476 720 -16988 -568 242 90
560 708 -16932 -573 273 93
540 704 -16912 -585 262 96
520 736 -16940 -572 262 70
548 780 -16928 -546 239 51
592 736 -16956 -598 248 56
584 660 -16876 -600 238 57
680 664 -16860 -603 224 119
480 752 -16988 -591 211 92
532 664 -17016 -574 235 101
544 736 -16996 -588 265 67
588 684 -16980 -616 270 76
516 760 -16928 -578 276 116
508 704 -17020 -574 240 99
552 720 -17016 -595 223 111
544 716 -16900 -599 244 68
592 692 -16916 -588 235 87
532 724 -16920 -586 269 57
580 696 -17004 -558 261 84
460 652 -16880 -575 234 79
536 716 -16924 -563 243 49
536 740 -17008 -552 243 49
572 696 -16816 -602 234 59
580 672 -16888 -580 242 94
532 740 -17012 -586 256 76
528 676 -16860 -591 253 104
532 744 -16936 -603 260 133
564 752 -17000 -571 242 59
604 728 -16916 -572 262 144
484 720 -16996 -569 273 95
568 708 -16988 -600 252 118
500 656 -17024 -550 220 70
560 604 -16976 -574 264 83
540 692 -17000 -578 256 85
532 708 -16928 -610 260 35
536 640 -16956 -611 238 99
500 612 -16964 -587 251 70
492 704 -16944 -583 240 94
576 648 -16900 -598 235 78
432 668 -17024 -561 270 68
468 668 -16976 -588 253 91
520 652 -16972 -612 243 89
544 716 -16932 -585 269 122
524 732 -16984 -567 247 47
548 696 -16932 -585 243 101
544 648 -16996 -599 238 42
548 732 -16924 -541 238 66
544 712 -17036 -593 226 74
616 720 -16956 -572 280 81
548 696 -16912 -578 248 98
584 692 -16960 -589 270 76
528 668 -16940 -570 248 62
520 716 -16920 -619 273 84
572 696 -16808 -557 249 63
548 712 -16972 -626 232 104
560 704 -16888 -613 261 89
556 696 -16952 -590 249 89
552 696 -17020 -543 256 83
492 688 -16948 -588 262 92
504 668 -16952 -581 228 50
528 728 -16944 -527 263 65
508 704 -17004 -573 241 22
524 668 -17048 -593 258 91
560 668 -16884 -590 233 96
424 672 -16824 -593 276 77
588 812 -17012 -568 263 78
684 704 -16888 -575 213 81
516 588 -16912 -541 232 84
524 672 -16800 -640 270 81
580 808 -16936 -554 264 86
624 648 -17060 -572 273 90
612 600 -17044 -572 234 60
512 832 -17008 -596 200 123
528 728 -16716 -570 244 123
448 540 -16984 -568 231 88
440 736 -16912 -577 218 104
516 788 -16972 -572 269 74
552 668 -17000 -578 243 106
488 580 -16952 -581 216 68
444 768 -16912 -583 245 68
492 716 -16908 -580 268 70
588 644 -16996 -573 253 49
620 668 -17032 -609 258 68
548 756 -16944 -583 212 62
496 740 -16900 -584 237 73
528 612 -17004 -575 266 117
612 676 -17000 -574 259 101
556 684 -16952 -618 252 95
580 636 -16960 -534 255 85
472 664 -16948 -588 225 89
480 708 -16864 -566 257 80
480 716 -17008 -568 264 109
532 656 -16920 -619 277 76
496 704 -17100 -584 247 71
500 812 -16936 -565 259 94
612 816 -16956 -606 278 77
668 636 -16896 -593 276 80
612 680 -16932 -565 256 49
596 836 -16864 -595 237 68
576 644 -16860 -591 274 35
564 588 -16992 -587 226 64
588 744 -16984 -579 246 65
528 744 -16960 -552 229 65
472 560 -16988 -584 235 52
440 528 -16980 -591 250 96
476 764 -16856 -592 266 89
500 636 -16980 -553 246 126
400 580 -17108 -593 261 64
572 596 -16804 -576 248 56
376 684 -16864 -581 256 166
528 780 -16860 -589 278 68
544 664 -16948 -575 283 100
688 720 -17064 -562 231 110
540 872 -17032 -581 256 87
440 760 -16920 -560 227 125
464 736 -16864 -632 235 100
540 792 -16928 -591 269 103
648 748 -17040 -615 268 58
688 728 -17008 -572 241 31
544 668 -17012 -566 250 18
656 776 -16912 -596 227 46
564 608 -16924 -581 281 1
584 764 -16972 -592 296 64
596 852 -17040 -542 230 54
648 768 -16888 -582 219 94
516 724 -16992 -597 248 91
504 712 -16912 -622 244 127
540 664 -16896 -590 272 144
544 644 -16936 -590 257 99
512 604 -16988 -594 237 90
492 580 -16912 -559 230 101
412 660 -16896 -575 254 56
412 664 -16956 -583 280 68
500 620 -17024 -569 281 40
524 712 -16988 -592 301 56
600 688 -17016 -566 261 39
552 656 -16952 -619 262 60
524 700 -17012 -609 269 67
548 692 -16908 -600 266 53
644 616 -17008 -587 263 51
572 608 -16920 -536 263 35
564 632 -16844 -589 243 106
548 648 -16904 -594 240 100
544 640 -16952 -598 276 130
556 676 -16948 -592 247 85
520 780 -16988 -575 259 101
508 752 -16960 -577 225 135
536 720 -16920 -547 264 152
608 788 -17036 -573 226 99
572 716 -16896 -590 233 106
552 748 -16904 -613 260 82
584 820 -16944 -576 211 104
528 724 -16984 -587 220 65
488 760 -17056 -545 262 70
432 724 -17008 -558 248 29
500 652 -17040 -569 270 63
576 684 -16928 -554 271 75
552 744 -17032 -553 290 50
616 728 -16996 -512 246 64
524 712 -16916 -551 250 99
624 700 -16952 -590 244 24
564 608 -16912 -603 280 87
524 672 -16948 -579 241 65
580 648 -16896 -583 240 79
596 576 -16920 -572 223 69
576 608 -16912 -605 213 65
448 660 -16876 -585 240 85
492 696 -16904 -566 254 54
488 692 -16924 -606 265 140
500 704 -17072 -577 268 99
468 724 -16916 -616 255 97
524 736 -16892 -561 285 112
512 824 -16996 -560 260 101
544 760 -16996 -643 253 120
580 824 -16980 -625 243 105
572 808 -16916 -589 292 91
564 688 -17024 -604 281 40
560 752 -16880 -547 246 58
564 804 -16932 -596 256 42
612 704 -16916 -545 224 62
580 720 -16976 -562 254 41
632 660 -16936 -590 244 73
556 636 -16948 -543 251 84
556 664 -16928 -593 265 51
636 680 -16952 -595 239 108
564 644 -16924 -591 250 71
540 664 -16952 -630 236 104
524 644 -16876 -601 228 84
520 624 -17024 -590 234 77
532 688 -16944 -618 243 101
424 684 -16956 -557 255 105
444 640 -16912 -591 263 110
500 684 -17016 -596 240 106
432 748 -16888 -571 255 65
468 796 -16908 -590 253 106
476 740 -16968 -592 231 79
488 692 -16920 -598 273 80
492 772 -17080 -587 299 101
656 752 -17008 -576 269 79
584 728 -16936 -582 243 13
600 740 -17052 -584 217 22
572 736 -16884 -581 280 39
556 692 -16936 -609 241 66
588 708 -17004 -586 247 41
564 688 -16900 -567 226 68
528 664 -16972 -621 226 81
548 632 -16960 -573 246 48
500 576 -16988 -586 222 103
536 708 -16968 -598 249 135
444 728 -16908 -588 297 130
516 684 -16916 -570 249 107
544 728 -16936 -590 245 105
556 684 -16912 -583 224 102
504 716 -16944 -546 232 90
556 728 -16860 -606 267 86
564 772 -16988 -570 232 52
536 712 -16864 -563 245 33
528 720 -16988 -585 269 43
560 696 -16924 -553 221 44
488 672 -17024 -561 243 37
528 696 -17016 -579 246 55
580 684 -16896 -596 225 54
508 604 -16900 -602 219 89
524 756 -16908 -589 280 68
524 692 -16932 -585 256 125
552 676 -16860 -582 257 110
540 676 -16884 -565 223 94
568 700 -17008 -584 226 112
576 696 -16928 -613 230 111
452 700 -16916 -564 221 99
528 760 -17084 -573 244 94
540 672 -16912 -583 244 50
548 676 -16884 -587 249 53
524 648 -16968 -602 255 74
452 644 -16952 -586 246 72
488 624 -16888 -588 262 55
608 728 -16976 -557 273 63
520 692 -16912 -618 252 76
508 708 -16788 -605 249 65
484 692 -16916 -586 260 93
552 680 -16784 -587 286 80
640 756 -17012 -589 260 76
612 668 -16956 -579 235 65
532 724 -16888 -581 227 108
536 740 -16972 -575 255 84
600 736 -16936 -592 268 112
604 728 -17052 -624 268 103
524 748 -16976 -590 214 82
496 756 -16980 -594 280 87
448 672 -16996 -572 236 99
436 676 -16840 -571 278 80
452 756 -16884 -589 248 98
528 744 -16944 -563 273 42
568 744 -17008 -561 230 55
500 776 -16904 -595 257 69
556 720 -16880 -563 278 62
624 696 -17060 -589 283 50
644 720 -16932 -571 250 42
644 692 -16892 -576 255 39
636 608 -16952 -605 266 42
592 636 -17000 -596 242 42
528 640 -16924 -578 226 66
524 656 -16932 -597 245 100
580 676 -16948 -577 225 93
524 656 -16916 -584 234 92
504 748 -16896 -559 247 122
544 708 -16900 -572 252 114
540 736 -16968 -567 237 124
476 772 -16976 -601 234 131
536 788 -17028 -558 259 133
500 800 -17020 -607 250 83
536 764 -16972 -592 247 76
600 784 -16916 -581 257 85
612 748 -16916 -612 268 62
612 712 -16956 -571 253 29
592 700 -17016 -598 245 7
592 656 -17044 -548 240 -13
600 572 -16836 -565 256 -6
588 640 -17056 -598 230 35
624 632 -16980 -551 281 23
612 616 -17000 -597 248 65
604 652 -16844 -595 279 90
548 584 -17024 -581 232 85
540 624 -17012 -613 234 160
532 668 -16908 -558 277 127
512 672 -16932 -559 285 182
524 644 -16932 -565 255 150
464 652 -16984 -576 246 145
468 668 -16928 -567 252 147
500 728 -16980 -595 243 121
468 728 -17000 -586 237 96
524 740 -17064 -619 263 78
604 772 -17000 -560 262 77
616 776 -16916 -579 253 47
572 752 -16908 -568 234 52
568 740 -16980 -560 252 38
512 772 -16808 -560 257 20
572 756 -16988 -585 219 34
568 724 -16932 -551 225 32
584 672 -16984 -625 267 62
624 684 -16960 -614 289 99
536 692 -17012 -596 244 120
592 696 -16908 -588 233 129
564 672 -16944 -598 255 120
612 692 -16888 -597 235 83
488 668 -16924 -576 258 103
564 692 -17012 -586 256 100
524 756 -17028 -590 260 123
564 676 -16824 -593 219 103
488 708 -16952 -577 264 64
424 720 -16944 -577 244 27
500 704 -16832 -571 265 57
456 712 -16956 -602 266 32
504 660 -16952 -570 273 41
752 636 -16740 -614 265 37
232 548 -17140 -592 287 37
932 1000 -16784 -555 265 27
560 500 -17124 -552 231 53
756 640 -16992 -595 262 13
528 796 -16892 -565 242 74
660 772 -16972 -557 233 72
532 472 -16964 -540 206 139
548 612 -16928 -590 232 141
500 828 -17016 -574 217 141
388 660 -16896 -560 251 164
444 504 -16908 -595 266 130
452 1008 -16948 -571 253 125
480 884 -16996 -559 239 162
428 668 -16996 -535 259 129
476 756 -16960 -596 241 80
400 792 -16992 -611 269 102
572 756 -16924 -560 290 28
644 556 -17060 -575 258 25
676 684 -17008 -590 248 -2
536 840 -17004 -538 270 -47
576 608 -16904 -536 251 -41
648 616 -16848 -585 243 9
568 728 -17028 -576 240 21
620 808 -16892 -529 229 40
568 592 -16964 -611 242 83
512 620 -16816 -587 231 125
436 740 -16964 -589 244 163
584 676 -16948 -573 253 195
596 484 -16984 -585 276 144
624 624 -16924 -594 239 189
580 744 -16944 -588 243 156
460 656 -16972 -520 229 125
476 720 -16980 -575 246 125
660 876 -16916 -543 246 67
532 724 -16992 -576 201 55
492 720 -16844 -578 263 60
500 796 -16860 -555 284 67
464 780 -16936 -579 272 33
492 712 -16948 -607 258 46
516 644 -16984 -574 268 33
604 780 -16984 -551 260 36
604 708 -16932 -597 257 49
632 584 -17060 -614 270 49
664 712 -16936 -573 249 37
680 700 -16960 -563 235 27
544 604 -17016 -591 225 72
568 616 -17072 -604 236 69
504 596 -17056 -567 261 89
496 580 -17000 -598 267 108
452 500 -17028 -562 258 97
436 604 -16876 -586 248 123
312 668 -16940 -604 237 84
332 640 -16832 -593 245 94
400 632 -16904 -560 263 128
520 820 -16956 -584 273 114
520 868 -17056 -574 254 114
528 784 -16904 -581 262 152
392 816 -17084 -598 315 124
1096 920 -16864 -598 225 137
304 592 -17156 -574 290 49
1084 996 -16852 -580 246 53
576 632 -17036 -584 248 -8
680 704 -16932 -596 267 -10
624 660 -16960 -567 246 -40
704 660 -16928 -541 283 -2
656 648 -16888 -599 248 -12
564 552 -17040 -596 217 31
496 712 -16952 -600 255 63
560 600 -16876 -556 218 117
428 476 -17088 -589 270 90
584 736 -16940 -558 217 184
476 664 -17040 -551 236 215
388 620 -16952 -575 236 186
380 736 -16932 -574 206 212
240 728 -16876 -555 242 176
356 820 -16904 -570 232 150
436 696 -17028 -580 259 137
432 724 -17044 -607 268 121
516 860 -16952 -545 269 65
620 732 -16900 -575 313 -1
784 756 -16900 -568 273 -61
768 828 -16924 -554 286 -35
864 864 -16920 -543 273 -71
800 776 -16916 -601 239 -61
792 748 -16944 -606 247 0
652 764 -17044 -624 220 39
612 716 -16960 -589 249 65
532 660 -16832 -596 200 139
468 656 -16936 -613 212 167
368 668 -16980 -539 214 162
256 652 -16928 -589 260 175
288 660 -16924 -634 246 182
324 660 -16888 -578 253 163
360 696 -16680 -614 255 141
476 692 -16948 -577 304 133
336 696 -16988 -594 283 84
744 684 -16880 -567 315 -38
612 688 -17040 -560 285 -67
788 800 -17000 -576 287 -86
716 528 -17020 -609 273 -106
760 520 -16756 -602 256 -90
588 628 -16916 -546 255 -90
704 556 -16940 -571 243 -56
676 360 -17072 -589 202 -21
576 472 -16960 -631 261 54
368 384 -17028 -559 223 87
420 316 -16800 -591 258 142
276 452 -16976 -581 273 239
440 532 -16740 -595 296 252
516 508 -16908 -557 270 292
688 708 -16928 -578 273 334
512 816 -16984 -599 253 315
592 1024 -16864 -555 254 316
592 1016 -16936 -602 293 354
608 1040 -17008 -574 280 339
724 1176 -16996 -559 231 286
672 1188 -17020 -572 254 225
712 1172 -17008 -565 256 125
672 1068 -16976 -627 259 69
744 992 -16932 -586 219 -26
700 892 -16992 -566 235 -110
584 784 -16920 -572 232 -145
596 704 -16908 -597 246 -176
324 628 -17028 -611 246 -182
668 636 -16840 -585 276 -190
196 372 -17064 -586 265 -191
596 572 -16824 -551 257 -112
340 320 -16944 -558 196 -56
300 292 -16792 -574 251 10
472 456 -16892 -580 286 43
436 440 -16944 -587 300 126
624 532 -17156 -614 274 211
524 384 -16944 -601 234 228
468 616 -16828 -570 235 312
420 700 -16884 -565 227 339
372 520 -16864 -584 265 324
636 888 -17024 -574 242 365
692 964 -17024 -623 217 320
504 856 -16848 -620 273 235
592 952 -16792 -591 245 209
556 968 -16892 -595 295 106
792 1088 -17044 -568 262 55
776 908 -17000 -559 251 5
696 860 -17056 -582 209 -132
576 880 -16880 -603 227 -139
532 700 -16868 -605 284 -142
564 504 -16976 -572 263 -150
580 616 -17068 -559 239 -141
580 548 -17076 -566 203 -149
260 324 -17004 -597 232 -64
224 440 -16780 -607 257 -12
252 536 -16992 -522 292 73
464 444 -16892 -607 262 180
324 480 -16944 -608 227 229
376 688 -16852 -553 247 323
372 732 -16860 -555 230 334
428 596 -16948 -556 303 333
588 784 -17028 -589 295 313
744 860 -17080 -577 250 213
736 804 -16884 -561 236 128
716 848 -16988 -590 240 46
652 944 -16784 -596 269 -21
540 908 -17184 -547 272 -46
944 868 -16812 -586 242 -116
188 688 -17212 -567 239 -164
708 1020 -16932 -555 234 -91
416 628 -16940 -569 242 -28
544 524 -16816 -612 235 -14
404 680 -17012 -626 265 55
648 612 -17056 -583 314 64
676 508 -17016 -523 247 107
764 492 -16960 -566 251 93
796 668 -17036 -581 270 127
864 668 -16960 -559 274 143
796 580 -17120 -591 237 165
764 716 -16964 -608 202 188
616 780 -16932 -575 179 216
368 740 -16900 -572 181 200
264 692 -16908 -629 187 257
148 720 -16800 -589 235 206
52 792 -16972 -545 269 260
172 756 -16892 -566 297 199
352 688 -16816 -575 296 158
360 900 -16916 -578 282 73
472 904 -17044 -578 289 39
636 896 -17072 -566 322 -4
800 960 -17020 -547 311 -94
816 932 -16940 -550 294 -80
1028 924 -16968 -599 240 -76
828 800 -17008 -595 237 -71
824 704 -16900 -592 218 -69
676 652 -16912 -590 216 -43
596 476 -16984 -601 256 -94
468 436 -17052 -577 232 -64
736 352 -16820 -541 198 -75
140 148 -16932 -605 254 -58
300 452 -16800 -561 276 19
252 400 -16964 -593 256 105
320 392 -16976 -578 316 203
496 612 -16888 -608 281 286
380 708 -17020 -607 281 311
612 864 -17044 -565 268 426
448 756 -16960 -556 252 422
668 928 -16948 -574 283 399
744 1012 -17112 -596 249 328
700 864 -16956 -571 244 278
616 868 -17060 -608 221 193
588 1060 -16876 -593 245 54
464 932 -17004 -548 227 -47
448 856 -16880 -559 258 -141
388 828 -16848 -550 284 -146
380 908 -16912 -546 284 -203
516 740 -16948 -539 304 -187
520 660 -16932 -555 285 -125
656 656 -16972 -596 238 -101
716 560 -17044 -591 250 -48
752 500 -16920 -545 265 -70
700 480 -17012 -579 240 -20
672 456 -16876 -642 277 18
660 412 -17068 -579 246 20
604 404 -16892 -572 258 48
524 464 -16900 -599 237 101
316 544 -17036 -594 260 196
556 624 -16868 -581 231 289
212 456 -16972 -567 241 313
400 724 -16940 -586 256 395
448 804 -16968 -600 246 413
400 784 -16936 -544 232 425
420 800 -16980 -610 262 364
572 952 -17028 -609 239 315
676 964 -16960 -587 230 194
660 924 -16932 -567 291 92
684 968 -16988 -551 258 -8
756 1144 -17032 -564 297 -99
684 944 -16948 -562 268 -216
628 900 -17024 -594 260 -199
648 884 -16944 -570 254 -195
616 676 -16960 -612 230 -167
584 604 -17000 -576 246 -140
556 456 -17044 -614 253 -115
488 544 -16884 -589 237 -63
440 444 -16884 -578 250 -5
432 300 -16796 -575 262 88
412 356 -17000 -558 238 90
456 468 -16888 -590 293 194
500 488 -17048 -546 254 246
452 584 -16964 -620 246 314
524 732 -16988 -563 276 318
576 684 -16968 -542 288 333
600 752 -16920 -614 220 366
560 852 -17008 -584 227 248
656 884 -16972 -614 233 208
624 860 -16868 -580 255 146
628 852 -16864 -605 267 95
660 884 -16952 -550 242 -4
584 872 -16996 -578 249 -68
552 792 -16912 -563 256 -128
496 764 -16984 -572 260 -129
500 848 -17008 -559 231 -107
564 772 -16944 -579 232 -95
516 652 -17012 -547 239 -55
520 696 -17088 -558 275 30
524 700 -16936 -604 245 76
520 620 -16860 -567 236 124
620 560 -16968 -600 254 126
652 612 -16896 -580 218 206
612 644 -17048 -596 204 174
636 592 -16876 -589 254 209
516 692 -16996 -635 230 209
584 716 -17016 -578 238 232
508 748 -16900 -610 240 124
528 816 -16960 -595 233 127
540 792 -16940 -607 237 103
520 804 -17024 -595 273 62
504 724 -16948 -561 247 24
544 704 -16996 -571 238 -11
564 708 -16984 -582 273 -57
476 608 -16908 -557 244 -28
572 636 -16944 -571 253 -41
452 632 -16952 -543 281 -5
488 668 -16888 -609 274 56
496 688 -16848 -583 245 68
524 616 -16984 -564 289 104
500 652 -16884 -588 277 131
520 764 -17016 -566 296 157
564 648 -16912 -602 270 186
564 704 -16940 -575 266 162
640 700 -16900 -577 241 173
668 764 -16936 -571 268 122
628 768 -16852 -608 249 94
616 792 -16892 -533 232 108
588 772 -16936 -571 247 58
556 824 -16860 -605 261 67
524 764 -16892 -523 237 9
492 688 -16956 -596 234 8
500 696 -16892 -595 256 9
448 708 -16912 -561 247 50
496 648 -16940 -602 247 30
460 640 -16976 -573 286 42
524 640 -16872 -600 273 66
496 648 -16960 -567 257 87
480 616 -16940 -581 282 92
524 672 -16940 -576 274 72
544 672 -16968 -564 258 78
588 648 -17068 -546 246 108
608 736 -17000 -561 245 107
612 640 -16968 -580 247 98
628 728 -16968 -598 240 96
608 664 -16984 -577 253 58
544 728 -16896 -530 254 91
540 756 -16980 -571 227 71
536 680 -16908 -529 258 21
560 736 -16912 -601 249 44
568 700 -17000 -590 252 68
584 752 -16980 -606 252 66
612 676 -17024 -572 267 55
540 640 -16896 -570 260 65
528 716 -16908 -612 266 63
488 676 -16812 -578 259 88
584 708 -17000 -598 282 89
508 632 -16860 -585 257 113
604 704 -16956 -605 237 111
492 728 -17036 -576 281 101
524 648 -16820 -539 254 97
528 684 -16964 -570 245 99
532 660 -16948 -537 268 49
584 692 -16792 -590 217 95
464 660 -16868 -579 259 84
464 688 -16868 -595 252 62
524 688 -16880 -584 285 85
556 760 -16908 -563 259 83
452 736 -16868 -595 260 111
556 732 -16924 -552 233 106
532 724 -16964 -578 245 91
600 660 -16964 -579 227 118
536 732 -16924 -591 233 96
504 728 -16876 -563 253 108
468 748 -16952 -573 238 65
508 772 -16932 -571 250 82
472 724 -16856 -592 264 86
496 704 -16952 -599 241 102
568 704 -17020 -569 271 52
568 748 -16932 -575 253 77
564 676 -17092 -565 260 85
604 768 -17128 -607 236 72
564 716 -16984 -599 301 59
560 708 -16972 -627 259 79
560 692 -16964 -529 240 51
560 704 -16996 -565 279 99
536 620 -16932 -570 217 101
580 680 -16896 -586 245 70
504 724 -16868 -554 257 107
508 708 -16936 -583 225 49
544 696 -16972 -579 254 82
540 684 -16964 -573 240 97
572 736 -16908 -558 235 86
560 716 -17000 -557 248 97
532 764 -16988 -588 252 71
512 720 -16884 -580 241 72
532 676 -16912 -597 253 62
624 684 -16964 -561 249 76
552 716 -16972 -617 271 54
476 700 -16936 -627 247 56
520 672 -16940 -549 205 85
524 628 -16908 -597 234 82
512 704 -16928 -585 226 52
456 724 -16960 -545 226 60
496 684 -16868 -578 222 62
552 780 -16964 -596 252 103
524 648 -16984 -584 244 133
604 672 -16944 -556 264 128
608 712 -17004 -557 273 130
576 728 -16880 -559 266 66
588 688 -16904 -586 254 105
592 752 -17032 -570 240 59
564 724 -17032 -561 260 45
576 728 -16900 -640 242 69
564 720 -16956 -598 266 76
528 680 -16916 -589 272 74
464 792 -16892 -591 247 71
472 740 -17008 -568 279 78
528 668 -16972 -610 285 115
548 692 -16976 -588 213 118
544 704 -16768 -582 229 63
528 616 -16908 -540 223 58
596 712 -16796 -594 263 128
516 660 -17060 -578 256 50
572 668 -16952 -590 253 88
544 688 -16900 -588 268 101
516 728 -16968 -571 229 58
492 656 -16996 -578 269 96
576 684 -16868 -592 254 64
496 672 -16960 -541 274 58
584 700 -16956 -581 239 79
600 748 -16996 -601 270 138
588 688 -16904 -534 236 69
600 708 -16936 -577 252 85
500 800 -16892 -581 257 108
520 676 -16932 -588 239 77
556 668 -16832 -601 208 83
552 736 -17036 -614 231 114
516 696 -16956 -602 272 90
524 728 -16872 -611 249 114
548 696 -17032 -601 257 103
580 652 -16936 -600 232 104
608 676 -16904 -608 218 76
508 660 -16924 -567 233 78
572 716 -16916 -602 260 60
572 692 -17012 -615 234 31
532 688 -16992 -561 267 33
572 616 -16884 -587 289 57
608 688 -16896 -569 289 110
544 748 -16984 -576 228 88
584 668 -16840 -574 235 63
624 696 -16908 -570 256 65
632 668 -16952 -573 259 57
536 752 -16912 -574 238 84
568 692 -16880 -569 266 102
460 708 -16928 -588 242 91
496 748 -16972 -580 263 100
472 648 -17004 -584 278 78
512 732 -16912 -572 286 83
584 700 -16892 -591 263 85
532 696 -16916 -598 259 89
528 716 -17020 -553 251 69
548 720 -17072 -579 251 5
560 732 -16944 -601 262 72
544 684 -16920 -541 271 27
544 748 -17048 -597 258 64
592 688 -16892 -582 244 77
608 672 -16972 -575 249 105
536 684 -16984 -575 239 84
548 656 -16896 -596 227 121
496 704 -16980 -551 228 87
548 684 -16860 -539 236 138
516 680 -16868 -594 265 101
468 664 -16968 -619 220 88
388 684 -16924 -603 254 75
400 692 -16888 -601 249 101
476 696 -16964 -548 259 69
448 668 -16976 -578 225 59
576 736 -16952 -582 306 59
580 700 -16924 -575 237 55
588 592 -16952 -573 272 24
604 636 -16864 -574 273 73
620 708 -16948 -578 267 46
644 764 -16888 -582 272 76
608 768 -16940 -576 260 71
672 804 -16960 -598 258 108
580 816 -16852 -605 265 116
656 836 -17016 -569 272 76
612 856 -16936 -583 242 118
688 872 -17000 -597 247 123
700 864 -16968 -576 261 169
648 872 -16964 -583 277 117
612 872 -16844 -625 245 105
548 868 -16956 -560 256 76
504 768 -16924 -577 224 78
536 820 -17040 -586 225 47
544 704 -16968 -590 248 -16
408 708 -16936 -629 235 -13
424 636 -16780 -595 234 -39
348 652 -16964 -582 296 -50
628 732 -16972 -556 291 -56
664 592 -17016 -567 249 -32
620 424 -16872 -616 257 -29
256 508 -16972 -630 249 6
656 840 -16968 -591 307 14
920 512 -16880 -573 227 62
508 260 -17100 -595 180 62
456 468 -16836 -602 178 44
160 372 -16864 -555 228 104
344 316 -16828 -570 241 117
140 428 -17164 -578 245 107
532 676 -16972 -568 238 121
304 472 -16984 -538 212 208
128 416 -16736 -546 229 188
60 712 -16740 -582 308 268
444 880 -16880 -563 291 282
448 812 -17072 -584 273 262
792 900 -16964 -612 235 204
428 964 -16960 -589 258 155
876 1184 -16760 -524 297 151
724 736 -16976 -591 273 96
1024 1036 -16948 -610 335 25
916 1220 -17148 -565 249 -7
900 920 -17048 -581 220 -47
800 728 -16976 -577 193 -56
616 904 -16908 -565 201 -16
436 912 -16744 -594 226 -29
376 532 -16916 -574 243 21
496 552 -16900 -615 232 40
452 616 -17040 -587 260 26
432 496 -16992 -568 220 25
344 276 -16816 -613 214 42
384 472 -16888 -563 291 49
480 588 -16952 -563 278 64
648 596 -17076 -549 295 54
636 544 -17068 -594 265 130
700 812 -17088 -608 260 141
544 772 -16828 -597 241 152
636 696 -16864 -586 256 204
584 760 -16900 -621 234 160
712 920 -17188 -608 234 163
784 668 -17056 -527 207 128
340 440 -16888 -589 175 125
380 628 -16764 -588 235 49
316 696 -16880 -557 262 19
492 504 -16984 -570 270 -24
388 480 -17060 -614 277 6
444 844 -16940 -563 188 27
316 780 -16764 -577 253 93
260 516 -16780 -594 303 125
472 848 -16988 -592 306 149
592 884 -17080 -587 248 171
620 688 -16952 -569 233 189
648 700 -17108 -574 255 180
628 784 -16896 -575 244 116
780 796 -16772 -612 239 92
540 600 -17104 -588 261 33
808 840 -16972 -600 258 29
492 932 -17032 -549 201 2
556 700 -17012 -584 214 37
468 652 -16936 -592 222 -8
432 660 -16820 -588 243 37
464 696 -16880 -562 258 55
500 548 -16964 -581 274 54
600 640 -17040 -608 251 58
604 716 -17044 -584 224 3
592 560 -16924 -568 223 35
632 548 -16868 -575 251 61
552 752 -16884 -571 260 90
696 820 -16888 -593 270 96
616 612 -16996 -567 224 155
512 760 -16904 -633 236 126
444 888 -17000 -588 248 158
684 812 -16912 -536 237 148
436 496 -17072 -580 226 193
